,tool,benchmark,shapiro_statistic,p_value,normal,n_samples
0,CC,bt,0.7607769264264981,0.0012042076427927818,False,15
1,CC,cg,0.8017412949483013,0.0038707011120185752,False,15
2,CC,ep,0.6518320931017071,7.941219462792488e-05,False,15
3,CC,ft,0.9471657796936894,0.48097036116238545,True,15
4,CC,is,0.7852700909601995,0.0023938053726308807,False,15
5,CC,mg,0.9584760951617982,0.665931295021036,True,15
6,CC,mi,0.9093853737287427,0.13250280019201593,True,15
7,CC,sl,0.6821427281320757,0.0001611336692636865,False,15
8,No_Tools,bt,0.914537803343829,0.15893211350809383,True,15
9,No_Tools,cg,0.7563240944930354,0.0010663873812818084,False,15
10,No_Tools,ep,0.6697912981359764,0.00012027927950900683,False,15
11,No_Tools,ft,0.9332653871125193,0.305146618751933,True,15
12,No_Tools,is,0.9743830878908009,0.9168207834788422,True,15
13,No_Tools,mg,0.9573968148182139,0.6472686221075479,True,15
14,No_Tools,mi,0.6171225709548545,3.672918024688458e-05,False,15
15,No_Tools,sl,0.9000625650870641,0.09538271023166613,True,15
16,PJ,bt,0.9240386126821122,0.22190403136387815,True,15
17,PJ,cg,0.97180109696848,0.8837755739355249,True,15
18,PJ,ep,0.9615519110200659,0.7193512161462359,True,15
19,PJ,ft,0.9337603818259417,0.3103246139136532,True,15
20,PJ,is,0.9256679553883762,0.23487230916627017,True,15
21,PJ,mg,0.90886075434008,0.13007104624330784,True,15
22,PJ,mi,0.7663593403821451,0.0014044276345883168,False,15
23,PJ,sl,0.7412672384764611,0.0007121712459526659,False,15
24,Perf,bt,0.6638887888552477,0.00010480327352426263,False,15
25,Perf,cg,0.870295488402923,0.034079748759314916,False,15
26,Perf,ep,0.46689744843917824,1.9239217428404166e-06,False,15
27,Perf,ft,0.9699437462892057,0.8572210802102086,True,15
28,Perf,is,0.9467316436152846,0.47452367448675453,True,15
29,Perf,mg,0.9256961474116745,0.2351028561756463,True,15
30,Perf,mi,0.7507453366071892,0.0009170443376192469,False,15
31,Perf,sl,0.9660724625950886,0.796249225392834,True,15
32,Ref_Kern,bt,0.813136673966619,0.005447157957170833,False,15
33,Ref_Kern,cg,0.9288600117427974,0.2623603835328111,True,15
34,Ref_Kern,ep,0.5127641522899753,4.466588792677309e-06,False,15
35,Ref_Kern,ft,0.9587155361565902,0.6700832997333308,True,15
36,Ref_Kern,is,0.9413915044420802,0.40019071063912104,True,15
37,Ref_Kern,mg,0.9589276451524641,0.6737639783108212,True,15
38,Ref_Kern,mi,0.6823989396645868,0.00016212401309322614,False,15
39,Ref_Kern,sl,0.7560504862474065,0.0010584873025994838,False,15
40,Ref_User,bt,0.9620933220090184,0.7287256363704642,True,15
41,Ref_User,cg,0.8703259241338299,0.03411485173936764,False,15
42,Ref_User,ep,0.8093249439931786,0.004854732578481567,False,15
43,Ref_User,ft,0.8029918409399381,0.0040170836628837265,False,15
44,Ref_User,is,0.9496410175728678,0.5188147508387378,True,15
45,Ref_User,mg,0.9626165126342084,0.7377586718395446,True,15
46,Ref_User,mi,0.9629987298642125,0.7443375203926915,True,15
47,Ref_User,sl,0.6286851369369968,4.727857166421387e-05,False,15
48,Scaphandre,bt,0.962947657031016,0.7434595494175716,True,15
49,Scaphandre,cg,0.9619118549945577,0.725586234937679,True,15
50,Scaphandre,ep,0.3858697052686675,4.809498781617194e-07,False,15
51,Scaphandre,ft,0.9122235784000932,0.14646860318875793,True,15
52,Scaphandre,is,0.9657876827839382,0.7915372522865796,True,15
53,Scaphandre,mg,0.9040271848848274,0.10967480647220063,True,15
54,Scaphandre,mi,0.9483212387576632,0.498410004851595,True,15
55,Scaphandre,sl,0.7572050556517166,0.0010922546494584779,False,15
56,Turbostat,bt,0.966057279376524,0.7959986267157717,True,15
57,Turbostat,cg,0.9510550936033183,0.5412205984387051,True,15
58,Turbostat,ep,0.9541886011089538,0.5926484196185077,True,15
59,Turbostat,ft,0.9346699846767149,0.32004122601465035,True,15
60,Turbostat,is,0.959160549890955,0.6778079008520895,True,15
61,Turbostat,mg,0.9794070058822234,0.9652956613098324,True,15
62,Turbostat,mi,0.9382882972878719,0.36133439471564277,True,15
63,Turbostat,sl,0.9227256554527469,0.2119506340971789,True,15
